Win,Month,Day,Year,Weekday,Time,RoadTeam,Locale,HomeTeam,Conference,RoadTeamPoints,OT
0,Jan,22,2018,Mon,9:00 pm/est,West Virginia,@,Texas Christian,Big 12,73,
1,Jan,23,2018,Tue,9:00 pm/est,Duke,@,Wake Forest,ACC,84,
0,Jan,24,2018,Wed,9:00 pm/est,Stanford,@,Southern California,Pac-12,64,
1,Feb,17,2018,Sat,4:30 pm/est,Villanova,@,Xavier (4),Big East,95,
0,Jan,17,2018,Wed,7:00 pm/est,Iowa,@,Rutgers,Big Ten,64,
1,Feb,1,2017,Wed,9:00 pm/est,UCLA,@,Washington State,Pac-12,95,
1,Feb,13,2016,Sat,5:30 pm/est,Alabama,@,Florida,SEC,61,
0,Feb,27,2016,Sat,2:00 pm/est,Arizona,@,Utah (22),Pac-12,64,
0,Feb,26,2015,Thu,7:00 pm/est,Nebraska,@,Ohio State,Big Ten,57,
1,Feb,6,2018,Tue,9:00 pm/est,Michigan State,@,Iowa,Big Ten,96,
0,Jan,31,2015,Sat,2:00 pm/est,LSU,@,Mississippi State,SEC,67,
0,Jan,30,2018,Tue,9:00 pm/est,Arkansas,@,Texas A&M,SEC,66,
0,Feb,7,2017,Tue,7:00 pm/est,Wake Forest,@,Notre Dame,ACC,81,
1,Jan,6,2018,Sat,12:00 pm/est,Creighton,@,Georgetown,Big East,90,
1,Feb,25,2016,Thu,9:00 pm/est,Indiana,@,Illinois,Big Ten,74,
0,Feb,28,2017,Tue,8:00 pm/est,St. John's,@,Creighton,Big East,68,
1,Feb,23,2015,Mon,7:00 pm/est,Louisville,@,Georgia Tech,ACC,52,
0,Jan,21,2016,Thu,9:00 pm/est,Arizona State,@,University of California,Pac-12,70,
0,Feb,18,2017,Sat,10:00 pm/est,USC,@,UCLA (6),Pac-12,70,
0,Jan,28,2017,Sat,8:00 pm/est,Ohio State,@,Iowa,Big Ten,72,
0,Mar,5,2016,Sat,2:00 pm/est,Syracuse,@,Florida State,ACC,73,
0,Jan,9,2016,Sat,7:00 pm/est,Texas,@,Texas Christian,Big 12,57,
1,Jan,30,2016,Sat,1:00 pm/est,Virginia,@,Louisville (16),ACC,63,
0,Jan,17,2015,Sat,7:00 pm/est,Utah,@,Arizona (10),Pac-12,51,
1,Feb,12,2017,Sun,6:30 pm/est,Northwestern,@,Wisconsin (7),Big Ten,66,
1,Feb,3,2015,Tue,7:00 pm/est,Mississippi State,@,Tennessee,SEC,71,
0,Jan,21,2015,Wed,7:00 pm/est,Missouri,@,Texas A&M,SEC,50,
0,Feb,28,2017,Tue,6:30 pm/est,Georgetown,@,Seton Hall,Big East,59,
0,Jan,11,2015,Sun,6:00 pm/est,Wisconsin,@,Rutgers,Big Ten,62,
1,Feb,10,2015,Tue,7:00 pm/est,Georgetown,@,Seton Hall,Big East,86,
1,Jan,6,2015,Tue,9:00 pm/est,Villanova,@,St. John's (NY) (24),Big East,90,
1,Jan,16,2016,Sat,2:30 pm/est,Nebraska,@,Illinois,Big Ten,78,
1,Feb,16,2015,Mon,3:00 pm/est,Miami,@,Boston College,ACC,89,2OT
1,Feb,25,2017,Sat,12:00 pm/est,North Carolina,@,Pittsburgh,ACC,85,
0,Feb,6,2016,Sat,8:30 pm/est,Colorado,@,Oregon State,Pac-12,56,
0,Jan,18,2017,Wed,8:30 pm/est,LSU,@,Auburn,SEC,74,
0,Jan,17,2015,Sat,4:00 pm/est,Syracuse,@,Clemson,ACC,53,
0,Feb,4,2017,Sat,12:00 pm/est,Virginia,@,Syracuse,ACC,62,
0,Jan,22,2018,Mon,7:00 pm/est,Maryland,@,Indiana,Big Ten,68,
1,Jan,20,2016,Wed,9:00 pm/est,Villanova,@,Seton Hall,Big East,72,
1,Jan,29,2017,Sun,6:00 pm/est,Xavier,@,St. John's (NY),Big East,82,
0,Feb,11,2017,Sat,4:30 pm/est,Washington,@,Utah,Pac-12,61,
1,Feb,5,2018,Mon,7:00 pm/est,Indiana,@,Rutgers,Big Ten,65,
0,Feb,10,2018,Sat,2:00 pm/est,Kansas,@,Baylor,Big 12,64,
0,Mar,1,2017,Wed,8:30 pm/est,Mississippi,@,Alabama,SEC,55,
1,Mar,5,2016,Sat,6:30 pm/est,Oregon State,@,UCLA,Pac-12,86,
1,Feb,6,2018,Tue,9:00 pm/est,Nebraska,@,Minnesota,Big Ten,91,
1,Jan,28,2018,Sun,1:00 pm/est,Villanova,@,Marquette,Big East,85,
0,Jan,13,2018,Sat,12:00 pm/est,Wake Forest,@,Duke (7),ACC,71,
0,Jan,7,2017,Sat,1:00 pm/est,Missouri,@,Georgia,SEC,66,
0,Jan,18,2018,Thu,10:00 pm/est,Washington,@,Utah,Pac-12,62,
0,Feb,24,2018,Sat,2:00 pm/est,LSU,@,Georgia,SEC,82,
0,Feb,28,2015,Sat,7:00 pm/est,Syracuse,@,Duke (4),ACC,54,
0,Feb,12,2018,Mon,9:00 pm/est,TCU,@,West Virginia (20),Big 12,66,
0,Jan,16,2016,Sat,8:30 pm/est,Arkansas,@,Louisiana State,SEC,74,
1,Jan,14,2017,Sat,8:30 pm/est,Tennessee,@,Vanderbilt,SEC,87,
0,Feb,18,2015,Wed,9:00 pm/est,Missouri,@,Arkansas (18),SEC,69,
